CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2018-00093479,MILLER AVE & BROAD ST,09/04/2018 04:21:00 PM,9,2018,Municipal Code Violation,Sec. 18-21.  ,"Sale, use, possession of alcoholic beverages in parks, etc.",1,
2018-00093900,25 SORRENTO ST,09/05/2018 06:54:00 PM,9,2018,Drug Offenses,21-28-4.01-A1,MANUFAC/POSS/DELIVER SCH 1/II-DRUG DEPEND,1,
2018-00094373,140 PEMBROKE AVE,09/07/2018 12:26:00 AM,9,2018,Municipal Code Violation,Sec. 16-93.  ,"Noise Control - Radios, television sets, and similar devices.",1,
2018-00096462,160 BENEDICT ST,09/12/2018 03:02:00 PM,9,2018,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,
2018-00097007,284 VEAZIE ST,09/14/2018 02:00:00 AM,9,2018,Burglary,11-8-1,BURGLARY,1,
2018-00097070,340 BROAD ST,09/14/2018 09:18:00 AM,9,2018,Municipal Code Violation,Sec. 18-21.  ,"Sale, use, possession of alcoholic beverages in parks, etc.",1,
2018-00097070,340 BROAD ST,09/14/2018 09:18:00 AM,9,2018,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,
2018-00097093,280 BROAD ST,09/14/2018 10:23:00 AM,9,2018,Municipal Code Violation,Sec. 18-21.  ,"Sale, use, possession of alcoholic beverages in parks, etc.",1,
2018-00097282,99 KENNEDY PLZ,09/14/2018 06:05:00 PM,9,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2018-00097625,51 EATON ST,09/15/2018 11:39:00 AM,9,2018,Liquor Law Violations,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,1,
2018-00097743,PEMBROKE AVE & EATON ST,09/15/2018 04:31:00 PM,9,2018,Liquor Law Violations,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,1,
2018-00097761,44 EATON ST,09/15/2018 05:40:00 PM,9,2018,Municipal Code Violation,Sec. 18-21.  ,"Sale, use, possession of alcoholic beverages in parks, etc.",1,
2018-00098562,BROAD ST & SOMERSET ST,09/17/2018 04:34:00 PM,9,2018,Municipal Code Violation,Sec. 18-21.  ,"Sale, use, possession of alcoholic beverages in parks, etc.",1,
2018-00098562,BROAD ST & SOMERSET ST,09/17/2018 04:34:00 PM,9,2018,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,
2018-00100825,361 CHARLES ST,09/22/2018 11:40:00 PM,9,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,
2018-00101286,114 JEWETT ST,09/24/2018 09:59:00 AM,9,2018,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,
2018-00101286,114 JEWETT ST,09/24/2018 09:59:00 AM,9,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,
2018-00101370,PORTLAND ST & BROAD ST,09/24/2018 03:01:00 PM,9,2018,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,
2018-00102070,ATWELLS AVE & CUTLER ST,09/26/2018 01:45:00 PM,9,2018,Municipal Code Violation,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,
2018-00102647,136 KNIGHT ST,09/27/2018 11:12:00 PM,9,2018,Missing Persons,Not Used,No violations,0,
2018-00104282,38 PHEBE ST,10/01/2018 11:35:00 PM,10,2018,Assistance Rendered,Not Used,No violations,0,
2018-00107416,457 DOUGLAS AVE,10/10/2018 11:12:00 AM,10,2018,Larceny from Building,11-41-1,LARCENY/O $1500 - FROM BLD,1,
2018-00110696,350 BROAD ST,10/19/2018 03:04:00 PM,10,2018,Municipal Code Violation,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,
2018-00112071,118 LABIN ST ,10/23/2018 12:30:00 PM,10,2018,RI Statute Violation,4-1-3,UNNECESSARY CRUELTY TO ANIMALS,1,
2018-00113579,280 BROAD ST,10/27/2018 01:03:00 PM,10,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,
2018-00114967,123 BURNETT ST,10/31/2018 08:59:00 AM,10,2018,Municipal Code Violation,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,1,
2018-00115743,DYER ST & CLIFFORD ST,11/02/2018 04:50:00 AM,11,2018,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,
2018-00116559,207 DOYLE AVE,11/04/2018 06:21:00 AM,11,2018,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,
2018-00116559,207 DOYLE AVE,11/04/2018 06:21:00 AM,11,2018,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2,
2018-00117591,10 DORRANCE ST,11/07/2018 03:45:00 PM,11,2018,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,
2018-00120618,20 NINIGRET AVE,11/16/2018 12:18:00 PM,11,2018,Larceny from Building,11-41-1,LARCENY/O $1500 - FROM BLD,1,
2019-00000923,380 HOPE ST,01/03/2019 10:28:00 PM,1,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,
2019-00004036,87 BYFIELD ST,01/14/2019 01:42:00 AM,1,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,
2019-00004458,198 RIVER AVE,01/15/2019 11:24:00 AM,1,2019,Murder\Manslaughter,11-23-1,MURDER-1ST DEGREE,1,
2019-00004458,198 RIVER AVE,01/15/2019 11:24:00 AM,1,2019,RI Statute Violation,15-15-3,VIOLATION OF PROTECTIVE ORDER,1,
2019-00004731,29 BAINBRIDGE AVE,01/16/2019 08:50:00 AM,1,2019,Weapons,11-47-60,POSSESSION OF FIREARMS ON SCHOOL GROUNDS,1,
2019-00005973,100 DORRANCE ST,01/20/2019 03:11:00 AM,1,2019,Assistance Rendered,Not Used,No violations,0,
2019-00007950,BROAD ST & CLAVERICK ST,01/26/2019 04:30:00 AM,1,2019,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,
2019-00007930,DAVE GAVITT WAY & WASHINGTON ST,01/26/2019 02:32:00 AM,1,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,
2018-00121342,325 WASHINGTON ST,11/18/2018 02:26:00 PM,11,2018,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,
2018-00122126,270 DOYLE AVE,11/20/2018 11:03:00 PM,11,2018,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,
