,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,25 SORRENTO ST,"25 Sorrento St, Providence, RI 02909, USA",ChIJjw7EBoRF5IkR-hSzCkUKSEs,"25 SORRENTO ST Providence, RI",41.8095832,-71.4361284,1,02909,OK,premise
1,ROOFTOP,140 PEMBROKE AVE,"140 Pembroke Ave, Providence, RI 02908, USA",ChIJRZwpnqpF5IkRhlfILzAeFRY,"140 PEMBROKE AVE Providence, RI",41.840455,-71.429947,1,02908,OK,street_address
2,ROOFTOP,284 VEAZIE ST,"284 Veazie St, Providence, RI 02904, USA",ChIJKW0I-1lE5IkRVJOlVIKQGv0,"284 VEAZIE ST Providence, RI",41.8527612,-71.4352888,1,02904,OK,premise
3,ROOFTOP,280 BROAD ST,"280 Broad St, Providence, RI 02907, USA",ChIJp3ddvXFF5IkRhdNhpqmuhqQ,"280 BROAD ST Providence, RI",41.8149722,-71.4202236,1,02907,OK,premise
4,ROOFTOP,51 EATON ST,"51 Eaton St, Providence, RI 02908, USA",ChIJFYH9BABF5IkRHRcggN9WI3s,"51 EATON ST Providence, RI",41.841278,-71.429346,1,02908,OK,street_address
5,GEOMETRIC_CENTER,PEMBROKE AVE & EATON ST,"Queens Rd & Pembroke Ave, Charlotte, NC 28207, USA",ChIJ99cr68GfVogRzq1VGMiQ3LE,"PEMBROKE AVE & EATON ST Providence, RI",35.194477,-80.82796499999999,1,28207,OK,"bus_station,establishment,point_of_interest,transit_station"
6,ROOFTOP,44 EATON ST,"44 Eaton St, Providence, RI 02908, USA",ChIJN7zGEQBF5IkRcOf2ke16W1M,"44 EATON ST Providence, RI",41.8408852,-71.429147,1,02908,OK,premise
7,ROOFTOP,114 JEWETT ST,"114 Jewett St, Providence, RI 02908, USA",ChIJYa65qAVF5IkRVQ5VSQXKIU8,"114 JEWETT ST Providence, RI",41.8326397,-71.4213323,1,02908,OK,premise
8,GEOMETRIC_CENTER,ATWELLS AVE & CUTLER ST,"Atwells Ave, Providence, RI, USA",ChIJ7W1EBqJF5IkRRornUFgoCTQ,"ATWELLS AVE & CUTLER ST Providence, RI",41.8244829,-71.43635979999999,2,,OK,route
9,ROOFTOP,136 KNIGHT ST,"136 Knight St, Providence, RI 02909, USA",ChIJpe563J9F5IkRNqGiBUC2U6s,"136 KNIGHT ST Providence, RI",41.8212266,-71.4304511,1,02909,OK,street_address
10,ROOFTOP,457 DOUGLAS AVE,"457 Douglas Ave, Providence, RI 02908, USA",ChIJT6GLtv9E5IkRFRDbysHfw3Y,"457 DOUGLAS AVE Providence, RI",41.8427852,-71.42741,1,02908,OK,premise
11,ROOFTOP,350 BROAD ST,"350 Broad St, Providence, RI 02907, USA",ChIJLc7O-HBF5IkRewKnHABuUFg,"350 BROAD ST Providence, RI",41.81360840000001,-71.42114889999999,1,02907,OK,street_address
12,RANGE_INTERPOLATED,118 LABIN ST ,"118 Robin St, Providence, RI 02908, USA",EicxMTggUm9iaW4gU3QsIFByb3ZpZGVuY2UsIFJJIDAyOTA4LCBVU0EiGhIYChQKEgk317repUXkiREghSf1xu5BtBB2,"118 LABIN ST  Providence, RI",41.8320902,-71.4364047,1,02908,OK,street_address
13,ROOFTOP,123 BURNETT ST,"123 Burnett St, Providence, RI 02907, USA",ChIJqVWXCIBP5IkRTC946lrUE-A,"123 BURNETT ST Providence, RI",41.8030523,-71.42917109999999,1,02907,OK,premise
14,ROOFTOP,207 DOYLE AVE,"207 Doyle Ave, Providence, RI 02906, USA",ChIJFW_v2thE5IkRoGZPoyRm2CA,"207 DOYLE AVE Providence, RI",41.8386162,-71.3993802,1,02906,OK,premise
15,ROOFTOP,20 NINIGRET AVE,"20 Ninigret Ave, Providence, RI 02907, USA",ChIJE9lB8H1P5IkRtBaCF_8whrE,"20 NINIGRET AVE Providence, RI",41.8039967,-71.43667789999999,1,02907,OK,premise
16,ROOFTOP,87 BYFIELD ST,"87 Byfield St, Providence, RI 02905, USA",ChIJdeqG0_RP5IkRJa-l6eyTkYM,"87 BYFIELD ST Providence, RI",41.7966245,-71.405975,1,02905,OK,premise
17,ROOFTOP,198 RIVER AVE,"198 River Ave, Providence, RI 02908, USA",ChIJB_gReKVF5IkRR6LVgo81kmU,"198 RIVER AVE Providence, RI",41.8331877,-71.4389285,1,02908,OK,premise
18,ROOFTOP,100 DORRANCE ST,"100 Dorrance St, Providence, RI 02903, USA",ChIJUfq5QRRF5IkRnw6mLIySUtc,"100 DORRANCE ST Providence, RI",41.823027,-71.4103477,1,02903,OK,street_address
19,ROOFTOP,270 DOYLE AVE,"270 Doyle Ave, Providence, RI 02906, USA",ChIJjXblsdlE5IkRYEXmvrdGOcI,"270 DOYLE AVE Providence, RI",41.8389901,-71.3964938,1,02906,OK,premise
20,GEOMETRIC_CENTER,WEYBOSSET ST & UNION ST,"Weybosset St, Providence, RI, USA",ChIJv7RgeBRF5IkRbBhJ7p649gA,"WEYBOSSET ST & UNION ST Providence, RI",41.8223275,-71.4117062,7,,OK,route
21,ROOFTOP,283 JASTRAM ST,"283 Jastram St, Providence, RI 02908, USA",ChIJnbuVuLJF5IkR6TJcN0T8Kec,"283 JASTRAM ST Providence, RI",41.8432256,-71.4432125,1,02908,OK,street_address
22,ROOFTOP,90 FLORENCE ST,"90 Florence St, Providence, RI 02909, USA",ChIJIWrq85ZF5IkR4XCkmmjUH-Y,"90 FLORENCE ST Providence, RI",41.8225232,-71.4459514,1,02909,OK,premise
23,ROOFTOP,8 POPLAR ST,"8 Poplar St, Providence, RI 02906, USA",ChIJJQNLyNtE5IkRtK_Fwjekvts,"8 POPLAR ST Providence, RI",41.842382,-71.397847,1,02906,OK,street_address
24,ROOFTOP,254 WASHINGTON ST,"254 Washington St, Providence, RI 02903, USA",ChIJ6wYNrhJF5IkRHwheY1gfFx0,"254 WASHINGTON ST Providence, RI",41.8209869,-71.4172817,1,02903,OK,"establishment,premise"
25,ROOFTOP,890 DOUGLAS AVE,"890 Douglas Ave, Providence, RI 02908, USA",ChIJRUJcplBE5IkRNQnOstBNX54,"890 DOUGLAS AVE Providence, RI",41.852366,-71.4367735,1,02908,OK,street_address
26,ROOFTOP,79 ELMWOOD AVE,"79 Elmwood Ave, Providence, RI 02907, USA",ChIJqSwSj3lF5IkRu04Ma5jNXbQ,"79 ELMWOOD AVE Providence, RI",41.8103466,-71.4244515,1,02907,OK,premise
27,ROOFTOP,29 MASSIE AVE,"29 Massie Ave, Providence, RI 02905, USA",ChIJSSYYp2JF5IkRrX9WxhC1wVg,"29 MASSIE AVE Providence, RI",41.801353,-71.4170473,1,02905,OK,street_address
28,ROOFTOP,UNION ST & WASHINGTON ST,"618 S Union St, Coffeyville, KS 67337, USA",ChIJd_c5JFiEt4cRWQbFdtNVqDs,"UNION ST & WASHINGTON ST Providence, RI",37.0378733,-95.6151737,1,67337,OK,"establishment,food,point_of_interest"
29,ROOFTOP,BROADWAY  & ATWELLS AVE,"1010 S Broadway St, Pittsburg, KS 66762, USA",ChIJk45dBOvCx4cR4PWRQs_laqo,"BROADWAY  & ATWELLS AVE Providence, RI",37.398798,-94.7052262,1,66762,OK,"electronics_store,establishment,point_of_interest,store"
30,APPROXIMATE,WASHINGTON ST & DEAN ST,"Washington, USA",ChIJ-bDD5__lhVQRuvNfbGh4QpQ,"WASHINGTON ST & DEAN ST Providence, RI",47.7510741,-120.7401385,1,,OK,"administrative_area_level_1,political"
