CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2019-00034977,BAXTER ST & POTTERS AVE,04/18/2019 01:37:00 AM,4,2019,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,BMcParlin
2019-00034977,BAXTER ST & POTTERS AVE,04/18/2019 01:37:00 AM,4,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,BMcParlin
2019-00034976,RT6E/ATWELLS AVE ,04/18/2019 01:35:00 AM,4,2019,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,RFedo
2019-00034976,RT6E/ATWELLS AVE ,04/18/2019 01:35:00 AM,4,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,RFedo
2019-00034956,81 WASHINGTON AVE,04/18/2019 12:32:00 AM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034953,11 BARKER ST,04/18/2019 12:01:00 AM,4,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,ITorres
2019-00034934,336 ORMS ST,04/17/2019 10:16:00 PM,4,2019,Request for Assistance,Not Used,No violations,0,Central Station
2019-00034932,593 EDDY ST,04/17/2019 10:05:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,PHourahan
2019-00034908,15 HOSPITAL ST,04/17/2019 08:50:00 PM,4,2019,Burglary,11-8-1,BURGLARY,1,SKennedy
2019-00034907,32 LONGMONT ST,04/17/2019 08:45:00 PM,4,2019,Missing Persons,Not Used,No violations,0,DImpagliazzo
2019-00034903,130 BRIDGHAM ST,04/17/2019 08:21:00 PM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,LPelaez
2019-00034901,138 KNIGHT ST,04/17/2019 08:19:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034897,325 WASHINGTON ST,04/17/2019 07:44:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DImpagliazzo
2019-00034883,1 DORRANCE ST,04/17/2019 07:07:00 PM,4,2019,RI Statute Violation,11-59-3,VIOLATION OF RESTRAINING ORDER,1,Central Station
2019-00034884,499 CRANSTON ST,04/17/2019 07:04:00 PM,4,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,LPelaez
2019-00034879,24 TAPPAN ST,04/17/2019 06:52:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034878,24 TAPPAN ST,04/17/2019 06:49:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034855,244 WASHINGTON AVE,04/17/2019 05:55:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034842,24 TAPPAN ST,04/17/2019 05:32:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034848,400 ADMIRAL ST,04/17/2019 05:07:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,GValletta
2019-00034825,650 BRANCH AVE,04/17/2019 05:01:00 PM,4,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,YGonzalez
2019-00034821,64 DARTMOUTH AVE,04/17/2019 04:57:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034820,235 PROMENADE ST,04/17/2019 04:55:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034809,1 DORRANCE PLZ,04/17/2019 04:33:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034794,1 PROVIDENCE PL,04/17/2019 04:10:00 PM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station
2019-00034788,244 WASHINGTON AVE,04/17/2019 03:52:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034784,754 BROAD ST,04/17/2019 03:47:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2019-00034790,921 MANTON AVE,04/17/2019 03:45:00 PM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,CCastagliuolo
2019-00034774,118 GLENBRIDGE AVE,04/17/2019 03:25:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034772,440 N  MAIN ST,04/17/2019 03:12:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034742,SUMMER ST ,04/17/2019 01:39:00 PM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,Central Station
2019-00034739,20 HAWTHORNE ST,04/17/2019 01:33:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00034728,5 ELMWOOD AVE,04/17/2019 12:32:00 PM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,AFrancis
