,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,MILLER AVE & BROAD ST,"3 Miller Ave, Shoreham, NY 11786, USA",ChIJMefNM_9n6IkRcv0mWZKPN0o,MILLER AVE & BROAD ST,40.9510004,-72.8918932,1,11786,OK,"establishment,point_of_interest,school"
1,ROOFTOP,160 BENEDICT ST,"160 Benedict St, Providence, RI 02909, USA",ChIJgw79m4dF5IkRjiY9H0u0v7g,160 BENEDICT ST,41.8058941,-71.4393122,1,02909,OK,premise
2,ROOFTOP,340 BROAD ST,"340 Broad, Wadsworth, OH 44281, USA",ChIJLROoA6fNMIgRZ25UNzrzv3M,340 BROAD ST,41.0258234,-81.72073019999999,2,44281,OK,premise
3,ROOFTOP,340 BROAD ST,"340 Broad, Wadsworth, OH 44281, USA",ChIJLROoA6fNMIgRZ25UNzrzv3M,340 BROAD ST,41.0258234,-81.72073019999999,2,44281,OK,premise
4,ROOFTOP,99 KENNEDY PLZ,"99 Kennedy Plaza, Providence, RI 02903, USA",ChIJR7wUVRFF5IkR019VLu6PGQo,99 KENNEDY PLZ,41.824537,-71.41223699999999,1,02903,OK,street_address
5,GEOMETRIC_CENTER,BROAD ST & SOMERSET ST,"Broad St, Philadelphia, PA, USA",ChIJW55gNOnFxokRcdhWogLTLc8,BROAD ST & SOMERSET ST,39.9135043,-75.1724267,2,,OK,route
6,GEOMETRIC_CENTER,BROAD ST & SOMERSET ST,"Broad St, Philadelphia, PA, USA",ChIJW55gNOnFxokRcdhWogLTLc8,BROAD ST & SOMERSET ST,39.9135043,-75.1724267,2,,OK,route
7,ROOFTOP,361 CHARLES ST,"361 Charles St, Blacksburg, VA 24060, USA",ChIJhaSMQbGVTYgRXvi-H6aFzgg,361 CHARLES ST,37.21210000000001,-80.395,1,24060,OK,street_address
8,ROOFTOP,PORTLAND ST & BROAD ST,"302 Portland St, Iola, KS 66749, USA",ChIJf80DHtD0uIcRNEes0BNiZyA,PORTLAND ST & BROAD ST,37.9098208,-95.4017676,1,66749,OK,"establishment,point_of_interest"
9,ROOFTOP,38 PHEBE ST,"38 Phebe St, Providence, RI 02904, USA",ChIJg9nAxE9E5IkR4MWfcyifN1k,38 PHEBE ST,41.8520382,-71.442613,2,02904,OK,premise
10,GEOMETRIC_CENTER,DYER ST & CLIFFORD ST,"Dyer St, Los Angeles, CA 91342, USA",ChIJ7wxy8yuOwoARyUE2SlkoEho,DYER ST & CLIFFORD ST,34.3158286,-118.430816,2,91342,OK,route
11,ROOFTOP,10 DORRANCE ST,"10 Dorrance St, Providence, RI 02903, USA",ChIJ15qWAxRF5IkRPdafpjYhBRU,10 DORRANCE ST,41.8239722,-71.4118003,2,02903,OK,premise
12,ROOFTOP,380 HOPE ST,"380 Hope St, Stamford, CT 06906, USA",ChIJ9b29qrqhwokRIxHLmR5yQ_U,380 HOPE ST,41.0728342,-73.52414279999999,2,06906,OK,premise
13,ROOFTOP,29 BAINBRIDGE AVE,"29 Bainbridge Ave, Ladera Ranch, CA 92694, USA",ChIJBXnA2dTt3IARM9XbSvw-yLM,29 BAINBRIDGE AVE,33.556555,-117.6402986,1,92694,OK,premise
14,GEOMETRIC_CENTER,BROAD ST & CLAVERICK ST,"Broad St, Philadelphia, PA, USA",ChIJW55gNOnFxokRcdhWogLTLc8,BROAD ST & CLAVERICK ST,39.9135043,-75.1724267,2,,OK,route
15,GEOMETRIC_CENTER,DAVE GAVITT WAY & WASHINGTON ST,"Dave Gavitt Way, Providence, RI 02903, USA",ChIJGf5kVW1F5IkRfmIRzUq0wI4,DAVE GAVITT WAY & WASHINGTON ST,41.8202201,-71.418832,1,02903,OK,route
16,ROOFTOP,325 WASHINGTON ST,"325 Washington St, Providence, RI 02903, USA",ChIJH4oA53JF5IkRua4IdGaOx1Y,325 WASHINGTON ST,41.8197292,-71.4203694,1,02903,OK,premise
17,ROOFTOP,71 RICHMOND ST,"71 Richmond St, Providence, RI 02903, USA",ChIJuwjlpBRF5IkRD_7nZin85ow,71 RICHMOND ST,41.8203136,-71.4115116,2,02903,OK,street_address
18,ROOFTOP,325 WASHINGTON ST,"325 Washington St, Providence, RI 02903, USA",ChIJH4oA53JF5IkRua4IdGaOx1Y,325 WASHINGTON ST,41.8197292,-71.4203694,1,02903,OK,premise
19,ROOFTOP,170 CAMDEN AVE,"170 Camden Ave, Staten Island, NY 10309, USA",ChIJm1ivHabKw4kRLaKZ2QSWL4k,170 CAMDEN AVE,40.5083399,-74.229809,2,10309,OK,street_address
20,ROOFTOP,825 CHALKSTONE AVE,"825 Chalkstone Ave, Providence, RI 02908, USA",ChIJj5wI1KhF5IkRjIx1y28FMQQ,825 CHALKSTONE AVE,41.8351848,-71.4355921,1,02908,OK,premise
21,ROOFTOP,17 RING ST,"17 Ring St, Providence, RI 02909, USA",ChIJGVRmyJ9F5IkRWxiNZGEIETE,17 RING ST,41.820966,-71.431271,1,02909,OK,street_address
22,ROOFTOP,4 RICHMOND SQ,"4 Richmond Square, Providence, RI 02906, USA",ChIJv4HVF9Na5IkRWp2or67pxzk,4 RICHMOND SQ,41.827172,-71.3809519,1,02906,OK,street_address
23,ROOFTOP,318 CHALKSTONE AVE,"318 Chalkstone Ave, Providence, RI 02908, USA",ChIJ7dcLSANF5IkRNQwBTMvO66Y,318 CHALKSTONE AVE,41.8363023,-71.418926,1,02908,OK,premise
24,GEOMETRIC_CENTER,RALPH ST & EASTWOOD AVE,"Davis St & Ralph St, Akron, OH 44310, USA",ChIJpYzuCUcoMYgRj75D9OjSFNQ,RALPH ST & EASTWOOD AVE,41.0996248,-81.4921419,1,44310,OK,"bus_station,establishment,point_of_interest,transit_station"
25,GEOMETRIC_CENTER,RALPH ST & EASTWOOD AVE,"Davis St & Ralph St, Akron, OH 44310, USA",ChIJpYzuCUcoMYgRj75D9OjSFNQ,RALPH ST & EASTWOOD AVE,41.0996248,-81.4921419,1,44310,OK,"bus_station,establishment,point_of_interest,transit_station"
26,GEOMETRIC_CENTER,52 PINE ST,"52nd St & Pine St - FS, Philadelphia, PA 19143, USA",ChIJgWZYQMLGxokRNCHa1Oer-Tc,52 PINE ST,39.953695,-75.226124,1,19143,OK,"bus_station,establishment,point_of_interest,transit_station"
27,ROOFTOP,234 WASHINGTON ST,"234 Washington Ave, Miami Beach, FL 33139, USA",ChIJf2zXyPO02YgRVbl0nCY6QrU,234 WASHINGTON ST,25.7718557,-80.1350295,2,33139,OK,premise
